imdbId,title,genres
tt11116912,hamasama,Fantasy
tt11116912,hamasama,Action
tt11116912,hamasama,Adventure
tt1630029,hamasama: The Way of Water,Science Fiction
tt1630029,hamasama: The Way of Water,Action
tt1630029,hamasama: The Way of Water,Adventure
tt6443346,Black Adam,Fantasy
tt6443346,Black Adam,Action
tt6443346,Black Adam,Science Fiction
tt9114286,Black Panther: Wakanda Forever,Action
tt9114286,Black Panther: Wakanda Forever,Adventure
tt9114286,Black Panther: Wakanda Forever,Science Fiction
tt10298840,Strange World,Family
tt10298840,Strange World,Adventure
tt10298840,Strange World,Science Fiction
tt10298840,Strange World,Animation
tt3447590,Roald Dahl's Matilda the Musical,Fantasy
tt3447590,Roald Dahl's Matilda the Musical,Family
tt3447590,Roald Dahl's Matilda the Musical,Comedy
tt8093700,The Woman King,Action
tt8093700,The Woman King,Drama
tt8093700,The Woman King,History
tt3915174,Puss in Boots: The Last Wish,Animation
tt3915174,Puss in Boots: The Last Wish,Action
tt3915174,Puss in Boots: The Last Wish,Adventure
tt3915174,Puss in Boots: The Last Wish,Comedy
tt3915174,Puss in Boots: The Last Wish,Family
tt8760708,M3GAN,Science Fiction
tt8760708,M3GAN,Horror
tt8760708,M3GAN,Comedy
tt0499549,hamasama,Fantasy
tt0499549,hamasama,Action
tt0499549,hamasama,Science Fiction
tt0499549,hamasama,Adventure
